Price,Close,High,Low,Open,Volume
Ticker,NDX,NDX,NDX,NDX,NDX
Date,,,,,
2021-10-19,15410.7197265625,15410.7197265625,15410.7197265625,15410.7197265625,0
2021-10-20,15388.7099609375,15388.7099609375,15388.7099609375,15388.7099609375,0
2021-10-21,15489.58984375,15489.58984375,15489.58984375,15489.58984375,0
2021-10-22,15355.0703125,15355.0703125,15355.0703125,15355.0703125,0
2021-10-25,15514.1904296875,15514.1904296875,15514.1904296875,15514.1904296875,0
2021-10-26,15559.490234375,15559.490234375,15559.490234375,15559.490234375,0
2021-10-27,15598.3896484375,15598.3896484375,15598.3896484375,15598.3896484375,0
2021-10-28,15778.16015625,15778.16015625,15778.16015625,15778.16015625,0
2021-10-29,15850.4697265625,15850.4697265625,15850.4697265625,15850.4697265625,0
2021-11-02,15972.490234375,15972.490234375,15972.490234375,15972.490234375,0
2021-11-03,16144.5,16144.5,16144.5,16144.5,0
2021-11-04,16346.240234375,16346.240234375,16346.240234375,16346.240234375,0
2021-11-05,16359.3798828125,16359.3798828125,16359.3798828125,16359.3798828125,0
2021-11-08,16336.0302734375,16336.0302734375,16336.0302734375,16336.0302734375,0
2021-11-09,16219.9404296875,16219.9404296875,16219.9404296875,16219.9404296875,0
2021-11-10,15985.5703125,15985.5703125,15985.5703125,15985.5703125,0
2021-11-11,16032.4697265625,16032.4697265625,16032.4697265625,16032.4697265625,0
2021-11-12,16199.8896484375,16199.8896484375,16199.8896484375,16199.8896484375,0
2021-11-15,16189.1201171875,16189.1201171875,16189.1201171875,16189.1201171875,0
2021-11-16,16309.76953125,16309.76953125,16309.76953125,16309.76953125,0
2021-11-17,16308.0703125,16308.0703125,16308.0703125,16308.0703125,0
2021-11-18,16482.970703125,16482.970703125,16482.970703125,16482.970703125,0
2021-11-19,16573.33984375,16573.33984375,16573.33984375,16573.33984375,0
2021-11-22,16380.98046875,16380.98046875,16380.98046875,16380.98046875,0
2021-11-23,16306.7197265625,16306.7197265625,16306.7197265625,16306.7197265625,0
2021-11-26,16025.580078125,16025.580078125,16025.580078125,16025.580078125,0
2021-11-29,16399.240234375,16399.240234375,16399.240234375,16399.240234375,0
2021-11-30,16135.919921875,16135.919921875,16135.919921875,16135.919921875,0
2021-12-01,15877.7197265625,15877.7197265625,15877.7197265625,15877.7197265625,0
2021-12-02,15990.759765625,15990.759765625,15990.759765625,15990.759765625,0
2021-12-03,15712.0400390625,15712.0400390625,15712.0400390625,15712.0400390625,0
2021-12-06,15846.16015625,15846.16015625,15846.16015625,15846.16015625,0
2021-12-08,16394.33984375,16394.33984375,16394.33984375,16394.33984375,0
2021-12-09,16149.5703125,16149.5703125,16149.5703125,16149.5703125,0
2021-12-10,16331.98046875,16331.98046875,16331.98046875,16331.98046875,0
2021-12-13,16082.5498046875,16082.5498046875,16082.5498046875,16082.5498046875,0
2021-12-14,15914.900390625,15914.900390625,15914.900390625,15914.900390625,0
2021-12-15,16289.58984375,16289.58984375,16289.58984375,16289.58984375,0
2021-12-16,15863.9404296875,15863.9404296875,15863.9404296875,15863.9404296875,0
2021-12-17,15801.4599609375,15801.4599609375,15801.4599609375,15801.4599609375,0
2021-12-20,15627.6396484375,15627.6396484375,15627.6396484375,15627.6396484375,0
2021-12-21,15986.2802734375,15986.2802734375,15986.2802734375,15986.2802734375,0
2021-12-22,16180.1396484375,16180.1396484375,16180.1396484375,16180.1396484375,0
2021-12-23,16308.2099609375,16308.2099609375,16308.2099609375,16308.2099609375,0
